file,text,topic_cluster_id,topic_label,era,era_label,topic_category,topic_category_label
"$11.86 Billion Loans to China PEKING, Aug. 24 (AP) -.txt","ï»¿
Foreign governments and international agencies lent China
$11.86 billion from 1979 to 1983
to finance 41 major Chinese
projects, a Government official
said today. 
Gu Ming, deputy secretary
general of China's governing
State Council, was quoted by
the official New China News
Agency as saying China received $2.62 billion of direct foreign investment in the five-
year period.
Chinese State Council Deputy Sec Gen Gu Ming says foreign governments and international agencies have lent China $11.86 billion from 1979 to 1983 to finance 41 major Chinese projects; says country received $2.62 billion in direct foreign investment in five-year period; says contry signed 18 agreements with 27 foreign oil companies in 1983 to explore for offshore oil in 25 Government-designated sectors (S)The money went into 188
jointly owned ventures, 1,047
cooperative enterprises and an
unspecified number of other
projects, he told members of a
national economic conference
in Hangzhou. 
Last year alone, he said,
China signed 18 agreements
with 27 foreign oil companies to
explore for offshore oil in 25
Government-designated sectors. 
The companies invested
$1.03 billion in the projects, he
said. Mr. Gu, who also heads the
State Council's Economic
Legislation Research Center,
said China's new body of economic law was bolstering the
policy of opening the economy
to the outside world. 
He called for strict adherence to regulations in carrying
out the terms of contracts and
said localities are not allowed
to reduce taxes, change foreign
exchange rates or sign agreements in violation of regulations.",1,billion,REAGAN,Reagan (1981-1988),CATEGORY_1,"billion, company, trade"
$550 MILLION CHINA LOAN IS APPROVED BY I.M.F.txt,"ï»¿
The International Monetary Fund today approved a $550 million loan to China, marking that country's largest borrowing from any financial institution.
The Washington-based I.M.F., which makes funds available to countries in balance-of-payments difficulties, said it had approved a so-called standby borrowing arrangement under which China would draw down 450 million special drawing rights (an internationally created reserve asset), equal to $550 million, over the next 12 months.
The fund said that China would also borrow an undisclosed amount from the institution's trust fund, a pool of money raised from the sale of gold. 
It is used to help countries particularly strapped financially. 
The advent of China as a significant borrower at a time when other poor countries are having increasing economic trouble because of higher oil prices could have major financial implications.
China gets $550 million loan approval from International Monetary Fund
Analysts noted that China's demands could reduce funds available for other prospective borrowers. 
China joined the monetary fund and World Bank last year as part of its efforts to draw closer into the world financial and trading network.
The World Bank, the official name of which is the International Bank for Reconstruction and Development, chiefly makes development loans to build up the economies of poorer countries. 
It has not announced any loans to China, but a mission from the bank recently returned from a project study, and a lending program could be announced later this year.
In approving China's request for the $550 million, the monetary fund noted that China had started a necessary stabilization program to reduce inflationary pressures and whittle down a deficit in trade and services.
The fund makes loans conditioned upon a country's adoption of economic measures to strengthen its international accounts. 
An analysis by the fund of China's latest measures concluded that the Chinese authorities had embarked on the proper course.
Â 
Reluctant to Borrow Heavily
Although China's foreign exchange position is believed to be relatively healthy, the Chinese have so far been reluctant to borrow heavily in Western capital markets, especially while interest rates remain high.
Analysts noted, however, that China had already been borrowing more heavily in short-term financial markets, especially in Europe and Japan. 
Proceeds have been used mainly to finance energy developments.
The Chinese authorities began a program of rapid economic expansion four years ago. 
But when the steel mills and other heavy manufacturing operations began costing more than the planners contemplated, the program was sharply scaled back.
Â 
Main Objectives Listed
''The main objectives of the Government's economic program for this year,'' the fund said, ''are the elimination of inflationary pressures, the readjustment of the investment pattern to foster resumption of rapid economic growth and to maintain the current account (trade and services) deficit at a sustainable level.''
The fund noted that priority was now being given to investment in light industry, agriculture and energy. 
Last Saturday China's chief economic planner, Deputy Prime Minister Yao Yilin, announced a program of sharp spending cuts and said the Government intended to monitor supply more closely to improve the economic performance.",1,billion,REAGAN,Reagan (1981-1988),CATEGORY_1,"billion, company, trade"
A Chinese Law On Bankruptcy.txt,"ï»¿
Thirty million Chinese with nothing to do at work are threatened by a bankruptcy law going into effect Tuesday.
Diplomats are divided about whether the law, adopted after years of debate, will force any of China's 400,000 money-losing factories to close.
Some officials have warned of possible unrest if people are thrown out of work in a country with no social security system.
Â 
Yuan Mu, spokesman of the
State Council, said at a news conference on Friday: ''After the bankruptcy law is implemented, some backward firms will go bankrupt and the number of unemployed, currently 2 percent, will rise. 
But the numbers will be small.''
China is allocating 41 million yuan ($11 billion) this year, 15 percent of its total budget, to subsidize state concerns that are losing money. 
The Government hopes to reduce this sum.",1,billion,REAGAN,Reagan (1981-1988),CATEGORY_1,"billion, company, trade"
A Johnny Appleseed Of China Is Honored.txt,"ï»¿
An 83- year-old Chinese man who abandoned his life as a clothing merchant to plant trees in the mountains has been honored by the Government, The China Daily newspaper reported today.
The official English-language daily said the man, Zhang Houla, working alone with a hoe, had planted more than a million trees on 50 acres in a remote valley in Shanxi Province in north-central China.
Chinese Government honors Zhang Houla, 83-year-old man who abandoned life as clothing merchant in '66 to plant trees in mountains of Shanxi Province (S)
Quoting from Outlook Magazine, the newspaper said Mr. Zhang was known as a ''forestry fanatic, madman and savage'' by local people.
In 1966, at the age of 66, he divorced his wife of more than 40 years and left his family to live in a mountain cave and plant trees. 
The report quoted Mr. Zhang's wife as telling neighbors, ''I can't stop him, nor can I stand him.''
He lived mostly on yams and wild herbs, bought no new clothes or shoes and used his own savings to buy seeds and nursery stock.
After Chinese leaders started a nationwide program to plant trees in 1981, Mr. Zhang's efforts finally gained respect. 
Local authorities decided to write his story in the county history book, award him $1,500 and appoint one of his sons as caretaker of the forest.",1,billion,REAGAN,Reagan (1981-1988),CATEGORY_1,"billion, company, trade"
A New Chinese Oilfield.txt,"ï»¿
An offshore oilfield with reserves estimated at 700 million barrels has been found off southern China, the official New China News Agency said today. 
The new field is at the mouth of the Zhujiang River in Guangdong province.",1,billion,REAGAN,Reagan (1981-1988),CATEGORY_1,"billion, company, trade"
A.M.C.-China.txt,"ï»¿
The American Motors Corporation and a Chinese company will begin production today of Jeep Cherokees in Peking, A.M.C. officials said. 
The joint venture company, the Beijing Jeep Corporation, plans to produce 750 Jeep Cherokees by the end of 1985 and about 4,500 in 1986, A.M.C. said. 
The Chinese version of the Cherokee, a four-wheel-drive station wagon, will be virtually the same as those produced in Toledo, Ohio.",1,billion,REAGAN,Reagan (1981-1988),CATEGORY_1,"billion, company, trade"
Advertising_Ogilvy & Mather Plans An Office in Peking.txt,"ï»¿
Sometime in June Ogilvy & Mather Worldwide expects to open an office in Peking, becoming the first American agency with an outpost in the Chinese capital.
It will be a subsidiary of Ogilvy & Mather China that operates in Hong Kong and specializes in advertising in China itself.
The clients involved are General Foods, American Express, Martell Cognac, Nike, Parker Pens, British American Tobacco, Polariod and Boeing. 
As it has since 1980, Ogilvy will continue to work with the state-owned Beijing Advertising Corporation.",1,billion,REAGAN,Reagan (1981-1988),CATEGORY_1,"billion, company, trade"
All the Tea in China_ Price Soars by 400_.txt,"ï»¿
The price of tea in China has soared up to 400 percent this year because an abnormally cold and rainy spring seriously cut production, the Government reported today.
The official New China News Agency said tea bushes in Zhejiang and Anhui Provinces, the country's main producing regions, sprouted late because of the weather, and picking was delayed.
Price of tea in China has soared up to 400% this year because of abnormally cold and rainy spring (S)",1,billion,REAGAN,Reagan (1981-1988),CATEGORY_1,"billion, company, trade"
Aminoil-China.txt,"ï»¿
Aminoil USA Inc. of Houston, a subsidiary of R.J. 
Reynolds Inc., announced its signing of an agreement to buy refined gasoline from the China. 
Under the agreement, Aminoil will import the Chinese gasoline into its Vancouver, Wash., facilities, beginning with a shipment of about 180,000 barrels scheduled early in February. 
An Aminoil spokesman said the company has options on further shipments, but noted that they would depend on market and demand conditions.
Aminoil USA Inc of Houston announces it signed agreement to purchase refined gasoline from China",1,billion,REAGAN,Reagan (1981-1988),CATEGORY_1,"billion, company, trade"
AROUND THE WORLD_China-U.S. Coal Project Is Delayed for 90 Days.txt,"ï»¿
Construction on a huge Chinese-American coal-mining project has been delayed for a further 90 days while the two sides discuss pricing problems, the official New China News Agency said today.
The Los Angeles-based Occidental Petroleum Corporation, headed by Armand Hammer, was to have started work on the mine by July 1 but the project has run into difficulties because of a sharp drop in the world price of coal.
The press agency said Occidental and Chinese officials had agreed to discuss the problem while they continue exploratory drilling and analysis of samples in the northern province of Shanxi.
The agency quoted Mr. Hammer as saying he planned to go ahead with the project, and said the Chinese side was confident a satisfactory solution to the problems could be found.",1,billion,REAGAN,Reagan (1981-1988),CATEGORY_1,"billion, company, trade"
