file,text,topic_cluster_id,topic_label,era,era_label
"1,000 Chinese Journalists Call For Greater Freedom of Press.txt","ï»¿
In the strongest appeal so far for freedom of the press in China, more than 1,000 journalists from official news organizations signed a petition that was presented to the Government today calling for talks with China's leaders.
The goal of the talks would be to discuss independence of the press, broader coverage of major events like the recent student demonstrations, and the dismissal of the editor in chief of a Shanghai newspaper.
''The reason we are calling for such a dialogue is that our press coverage has attracted criticism at home and abroad,'' said Li Datong, an editor at the China Youth News. 
''We think that the press in Beijing has failed to be comprehensive and fair in its coverage. 
And we think this is the direct result of our current press system.''
The petition, which was presented to the All-China Journalists Association by about 100 journalists, criticized press censorship in coverage of the recent student demonstrations and demanded a change in the Communist Party's role in press coverage.
Â 
'Some Reports Were Distorted'
''Some reports of the demonstrations were extremely distorted and they have severely damaged the reputation of China's press both here and abroad,'' the petition said.
Because domestic news organizations have been restricted in their coverage of the demonstrations, many Chinese people have learned of the recent events from foreign reports, such as those on the Voice of America and the British Broadcasting Corporation.
During the big student protest last Thursday, about 300 reporters from leading publications demonstrated at the headquarters of the official New China News Agency. 
Several newspapers also printed articles, albeit brief ones, on the event the next day.
''We saw more than you did, but you wrote and published more than we did,'' Yuan Xiaolu, a journalist at China Youth News who signed the petition, told a foreign reporter.
Several reporters said they did not know whether their newspapers were going to publish articles about the petition today. 
But a reporter at the Science and Technology Daily, which was forced to delay distribution of an issue recently because it included articles about the demonstrations, said the newspaper planned to cover the event.
The single action that seems to have aroused the greatest dissatisfaction among journalists is the dismissal two weeks ago of Qin Benli, who was the editor in chief of China's boldest newspaper, the Shanghai-based World Economic Herald. 
Mr. Qin, 70, seems to have become a symbol of the need for more press freedom.
Journalists for the newspaper said the authorities have again intercepted the Herald and delayed its publication. 
They said officials refused to allow the current issue of the weekly newspaper to be printed because of a front-page letter declaring Mr. Qin's dismissal improper. 
The letter was removed and the newspaper was printed 36 hours late, they said.
Zhang Weiguo, a reporter in the Herald's Beijing bureau said the staff members also intend to sue the Shanghai Communist Party leader for his decision to dismiss Mr. Qin and reorganize the newspaper.",0,mr,HWBUSH,HW Bush (1989-1992)
"10,000 in Hong Kong Rally for a Free China.txt","ï»¿
About 10,000 people staged a noisy but peaceful demonstration today in support of democracy in China.
The rally took place outside the offices of the official Chinese press agency, Beijing's quasi-official representative in this British colony.
Demonstrators shouted slogans and carried banners that said, ''We Love China, Not Communism'' and ''Today Rumania, Tomorrow China.''
They also voiced support for the overthrow of Communist governments in Eastern Europe.
The protesters earlier rallied in downtown Hong Kong before marching the several miles to the office of the New China News Agency.
The demonstration was organized by the Hong Kong Alliance in Support of the Patriotic Movement in China, which has been accused by Beijing of trying to use the British colony as a base for subversion in China.
China has pledged to retain Hong Kong's capitalist and legal systems for 50 years after the territory reverts to Chinese rule in 1997.",0,mr,HWBUSH,HW Bush (1989-1992)
100 Chinese Defy a Ban.txt,"ï»¿
About 100 Chinese today defied a Government ban on ''English Corner,'' a glade in a Beijing park where people have gathered for years to practice English-language skills with foreigners. 
Cordons sealed off the glade, in the Purple Bamboo Park, which has served as a Sunday venue, and official notices nearby proclaimed that ''English Corner has been withdrawn.''
But defiant students and workers said they would continue to hold the conversation sessions until they are forcibly driven away.",0,mr,HWBUSH,HW Bush (1989-1992)
115 Killed in Quake in China.txt,"ï»¿
An earthquake rocked China's western region of Qinghai late Thursday, killing 115 people and flattening more than 1,000 homes, officials said today. 
Officials from Qinghai's seismological bureau said by telephone from the provincial capital, Xining, that the quake, measuring 6.9 on the Richter scale, also damaged a labor camp and that more than 200 convicts had escaped in the confusion. 
Officials said 120 people were in the hospital.",3,tibet,HWBUSH,HW Bush (1989-1992)
13 Are Charged in Violence Tied To Queens Gang.txt,"ï»¿
Federal authorities charged 13 people yesterday with operating a murderous gang headed by a man in China who wielded power on New York streets through a violent group of enforcers.
Seven murders, three kidnappings and many cases of extortion were among the charges cited in a racketeering indictment. 
The defendants were identified as leaders, members and associates of a gang called the Green Dragons. 
Investigators called the group one of the most violent gangs in the city, with operations based in Queens since January 1986.
""This indictment, for all intents and purposes, destroys the Green Dragons and their leadership,"" said Andrew J. Maloney, the United States Attorney for the Eastern District of New York. 
He said some members were cooperating with the authorities.
The heavily armed gang resorted to murder more quickly than Chinese gangs that had been in the United States longer, Mr. Maloney said. 
""They put a lot of weight on terror,"" he added.
Among the murders were those of a woman and a man who were kidnapped from a restaurant in Queens last year and shot in their heads while kneeling with their hands tied behind their backs, investigators said. 
The woman had testified in a case against some Green Dragons, they said.
Â 
'Deep Within' China
A 35-year-old man, Kin Fei Wong, was charged with being the founder and leader of the gang. 
The authorities said he was born in China, lived in the United States for a time and then operated the Green Dragons from ""deep within"" the Fujian Province of China. 
He was accused of being a major heroin trafficker who conducted extensive criminal activities and used the Green Dragons as an enforcement arm to maintain his authority in this country.
Investigators said the Green Dragons, most of them in their late teens or early 20's, carried out extortions, robberies and other crimes to finance their activities and sometimes graduated to more important criminal roles for their leader in China. 
Eleven of the 13 defendants are in custody, several of them since November, when initial charges were filed. 
Kin Fei Wong is one of the two not arrested.
""We don't have a treaty with China that would cause his extradition,"" Mr. Maloney said. 
But the prosecutor said he thought that China would turn over the suspect to American authorities.
Mr. Maloney said wiretapped telephone conversations showed that the leader in China regularly sent orders to the gang leader in New York, identified as Chen I. Chung, 22, who ""recruited new gang members from the schools and playgrounds of Queens, promising them money in exchange for their loyalty.""
Mr. Maloney said the gang extorted payoffs of up to $2,000 a week from Chinese restaurants in Queens. 
He hopes, he added, that the indictment will send a message to the growing Asian community that ""the police and Federal authorities are ready and willing to help them rid themselves of these lawless gangs.""
If convicted, each defendant could face 20 years in prison for racketeering, and those named in murders could face life in prison.",-1,Outlier,HWBUSH,HW Bush (1989-1992)
"150,000 March in Defiance of Beijing.txt","ï»¿
More than 150,000 demonstrators openly defied official warnings and a concentration of troops today to march for 14 hours through the capital, repeatedly and effortlessly puncturing lines of policemen and soldiers sent to stop them, in one of the biggest displays of dissatisfaction in 40 years of Communist rule.
The student-organized demonstration in support of democracy and against corruption was a stunning humiliation for the Government, which responded this evening by agreeing conditionally to the students' demand for discussions with officials.
Most worrying for the authorities was the fact that crowds of cheering workers lined the entire route and hailed the core of student marchers almost as a liberating army. 
Workers vigorously applauded the students, waved encouragement from office windows, and frequently sent them food and drinks to show support.
Soldiers Are Surrounded
On at least three occasions thousands of workers surrounded hundreds of soldiers and and prevented them from approaching student marchers.
Workers sometimes pushed aside police blockades even before the students drew near, and the marchers in the four-mile-long parade were easily outnumbered by supporters who walked and bicycled along with them for at least part of the way.
Beijing residents said the security forces, including army troops called in from surrounding areas, had made their greatest show of force in recent memory, but it was dwarfed by the sea of demonstrators.
Including the onlookers who waved and cheered as the parade went by, perhaps half a million people took part one way or another, often climbing trees and lampposts when there was no ground to stand on.
The only comparable protest came in the first week of April 1976 when angry crowds gathered in Tiananmen Square to mourn the death of Prime Minister Zhou Enlai and oppose the ''Gang of Four'' then in power. 
Several Chinese who took part in both demonstrations said the one today involved more people and more general defiance of the authorities, who had warned of a crackdown on demonstrators.
Â 
New Themes Are Raised
For the first time, the pro-democracy movement, which in the past has been overwhelmingly limited to students and intellectuals, seemed to draw fervent support from others. 
The students encouraged this not only by pressing their previous demands, like freedom of the press and more money for education, but also by raising populist themes like official corruption and inflation.
The perception of Government impotence was most vivid when the crowds burst through the last police barricade to get to Tiananmen Square in the center of the capital. 
Nearly 1,000 soldiers in 20 trucks did not flee quickly enough and mobs swarmed around them, clambering onto the hoods and sides of the vehicles and appearing ready at first to lynch the troops. 
But when it became obvious that the soldiers were terrified and thinking only of retreat, the mobs cleared a way for them to escape.
Shouts of ''Brothers, go home and till your fields'' could be heard from the crowd as the trucks raced off.
Aside from some shoving, there was no violence. 
Indeed, students once rescued soldiers sent to block their march. 
Several truckloads of troops were surrounded by angry mobs, who allowed them to leave only when persuaded to do so by students waving their university identification badges.
Â 
An Appeal to the Workers
''We're deeply moved by the students' audacity,'' said a young Government ministry official who came out of his office to applaud as the students passed. 
''They say what is in our hearts.''
The procession was full of signs and banners, ranging from ''Vive la liberte,'' erected by French-language students, to a large black banner aimed at workers: ''You work but you get nothing; your life is bitter.''
The students were far better organized than they have been in the past, and some with megaphones were assigned to rally worker support. 
When the march passed a large factory, whose gate was promptly locked, a student made a small speech:
''Dear workers, we are all citizens, and we all have the right of free movement. 
If anyone stops you from getting out and joining us, that's against the Constitution.''
Of the 150,000 or more marchers, about half were organized students carrying banners and the rest were workers or students taking part on their own. 
One worker who marched was Zhou Jingping, a library clerk, who said he was an enthusiastic supporter of the students.
''Inflation has given us a lot of difficulties because prices rise but salaries don't,'' Mr. Zhou said. 
''Students voice that desire of ours to suppress the inflation. 
And then there's corruption. 
Bribery is evident everywhere, and people are sick of it. 
Education is another reason - the Government hasn't paid enough attention to education.''
To many workers, the students seemed to represent not a focused, alternative agenda, but simply a cry of discontent that struck a deep chord.
''They represent people's thinking, the sense that we the people are in control,'' said one of the marchers, Lin Yulin, a 52-year-old worker wearing a Mao Zedong button as a sign of his discontent. 
''The leaders cover everything up. 
People don't know anything, and we are no longer the masters. 
That's why there is this uprising.''
The outpouring of support for the students was humiliating for the entire leadership, but for no one so much as the senior leader, Deng Xiaoping. 
In the last 10 days of protests, the students have often expressed contempt for Mr. Deng, and he more than anyone appears to have been behind the hard line that the Government has taken in the last few days. 
Harsh Words From Deng?
Chinese with close Communist Party connections say the Politburo raised the matter of student unrest this week and asked Mr. Deng for his views. 
He is said to have answered particularly harshly, saying that if necessary some blood could be spilled and that repression would not seriously harm China's image in the world.
The students said tonight that they would continue their boycott of classes and some predicted that there would be more demonstrations on May 1 and May 4. 
It was not clear how the students would regard the Government's offer of discussions, which was a major concession but which appeared to be linked to the students' willingness to avoid street demonstrations.
The Government appeared dumbfounded by the size of the day's demonstration, and the television news did not mention it tonight. 
The official New China News Agency mentioned it briefly and suggested its effect only indirectly when reporting that it had caused ''huge traffic tie-ups'' affecting 300,000 people.
Student demonstrators breaking through a line of policemen during protest march yesterday in Beijing (AP & Reuters) (pgs. 
A1 & 6)",0,mr,HWBUSH,HW Bush (1989-1992)
2 CHINA DISSIDENTS DETAINED IN MAY.txt,"ï»¿
The Chinese authorities have recently detained at least two democracy advocates, including one who spent a decade in prison for political beliefs, Chinese familiar with the cases say.
Students at Beijing University said a fellow student, Peng Rong, was detained on Friday, one day after President Bush recommended the renewal of most-favored-nation trading status for China.
Two weeks ago, Liu Qing, a leader of the Democracy Wall movement in 1978-79, was picked up and accused of not having a valid permit to live in Beijing, associates said.
One of the most prominent dissidents in China, Mr. Liu was freed from prison at the end of 1989 after having served 10 years for advocating democracy and human rights and also for publicizing prison conditions.
After his release, Mr. Liu steered clear of overt political activity.
Fellow students said they were not certain why Mr. Peng had been detained or whether he might be released. 
But they said they suspected the reason was that he signed and put up a poster on May 11 urging an end to foreign economic sanctions against China.
Â 
Exact Charges Unclear
Although the poster echoed the official position, it is illegal to put up posters or petitions without approval. 
A year ago, posters at Beijing University helped set off student demonstrations.
University authorities deny that Mr. Peng was detained because of the poster, students said. 
They attribute the action to ''counterrevolutionary'' activities. 
Three other students who also signed the May 11 petition have not been arrested so far. 
But one or more other students were also detained in connection with the incident, two university teachers said.
Mr. Peng took part in the students' demonstrations a year ago, but he was not detained in the months after the army's June 4 suppression of the demonstrations and he was not on the list of 21 students sought after the violence.
No other arrests of students have been reported since 211 political prisoners were released this month, apparently as a gesture to the United States.
Still, the authorities are worried about unrest on the anniversary of the military action or before Beijing plays host to the Asian Games in the fall.",0,mr,HWBUSH,HW Bush (1989-1992)
2 Chinese Businessmen Get Death Sentences for Theft.txt,"ï»¿
Two businessmen were sentenced to death today for theft and embezzlement, as part of the Government's crackdown on economic crimes.
Tonight's television news programs showed the sentencing before a large public meeting held in a gymnasium. 
Both the publicity and the stiffness of the penalties seemed intended to discourage such corruption.
The ways business and Communist Party officials have illegally used their jobs to amass wealth were a major concern of the democracy movement this spring.",0,mr,HWBUSH,HW Bush (1989-1992)
2 From Hong Kong Expelled From Chinese Charter Panel.txt,"ï»¿
China today expelled two Hong Kong members from a committee drafting a constitution, known as the basic law, for the British colony after it returns to Chinese rule in 1997.
The two were outspoken supporters of the pro-democracy movement last spring, which the army crushed in June with heavy loss of life.
The official New China News Agency said the Standing Committee of the National People's Congress, the Parliament, had expelled Szeto Wah and Martin Lee because of ''their antagonistic stand against the Chinese Government.''
The announcement of their dismissal was widely expected in Hong Kong and came on the last day of the last consultation period for the basic law. 
The charter is to be examined by Parliament at its annual session in March.",2,hong,HWBUSH,HW Bush (1989-1992)
2 in Race Disagree On Defense And Trade.txt,"ï»¿
With a troublesome economy and social issues as focal points of their rancorous race for the United States Senate, Senator Alfonse M. D'Amato and Attorney General Robert Abrams have virtually ignored any discussion of foreign policy issues.
Even on those rare occasions a foreign policy issue has been raised, like military budgets and the future of Russia, their answers have been framed in domestic concerns, like the impact on jobs and trade possibilities.
But a broader examination of their positions on world affairs reveals a striking difference between them despite their relative agreement on narrow issues like favoring improved relations with Israel after the periods of strain through the last four years.
In essence, Mr. D'Amato, a Republican seeking his third Senate term, and Mr. Abrams, a Democrat in his first bid for national office, embrace fundamentally different visions of the future, in that Mr. Abrams sees a world less threatening to the United States than Mr. D'Amato does.
Â 
Quick-Strike Force
The disparity emerges through the role they see the United States playing in the near future and the degree to which they would reduce the current national defense budget of $290 billion over the next five years.
While both envision the kind of mobile, quick-strike military force used in the Persian Gulf war in 1991, with a strong presence in Europe and other strategic places, Mr. D'Amato's force would be larger. 
He favors reductions of $85 billion in the defense budget over the next five years, and a decrease of 400,000 troops, to 1.5 million. 
Mr. Abrams would cut spending by more than three times as much, $280 billion over the same period, and require only 1.1 million troops.
Both see the need for reducing the 300,000 troops stationed in Europe -- Mr. Abrams to 75,000 to 100,000; Mr. D'Amato, to about 100,000.
In a recent interview, Mr. D'Amato assailed the continuing presence of Saddam Hussein in Iraq and the ethnic wars in Yugoslavia, citing them as reasons for slower defense reductions. 
He said the demise of the Soviet Union and Communist governments in Eastern Europe was no guarantee military threats had evaporated. 
He called North Korea ""still a military threat"" and said he worries about countries like Iran and China buying weapons on the open market.
Â 
Similar Concerns
Mr. Abrams cited similar concerns in a separate interview but not to the degree expressed by Mr. D'Amato, who he said ""hasn't yet realized the cold war is over.""
Mr. Abrams argued that the cuts and troop levels he advocates, drawn from a recent study by the Brookings Institution, would be sufficient to safeguard the interests of the United States.
While he would keep the United States military advantage over other countries, he played down the need for the United States to act as ""the world's policeman,"" saying he preferred what he described as the ""collective action"" of the gulf war.
In an election year in which voters are far more focused on domestic concerns, Mr. D'Amato's approach of seeking smaller cuts in military spending is tied to jobs. 
He says slashing the military further would not only undermine national security but also devastate New York's economy by eliminating hundreds of thousands of jobs from defense contractors like Grumman on Long Island and General Electric in Schenectady.
But Mr. Abrams argued that the longer-term economic stability of New York requires conversion of military production to consumer businesses and reallocating dollars saved from military spending into programs to rebuild the nation's infrastructure. 
Mr. D'Amato favors the same kind of programs but a more gradual conversion rate.
Â 
'Responsible Reductions'
""With the end of the cold war, we cannot bury our head in the sand and miss this opportunity,"" Mr. Abrams said. 
""We can remain the strongest military power in the world, but at the same time get the benefit of the end of the cold war with responsible reductions in the military budget.""
On trade issues, Mr. D'Amato favors approval of the North American Free Trade Agreement with Canada and Mexico, which means he supports the measure as written.
Like Gov. Bill Clinton in the Presidential race, Mr. Abrams supports the agreement in principle but would prefer amendments or parallel legislation to require Mexico to enforce its environmental standards and insure worker safety and the United States to provide retraining programs for Americans losing their jobs when their employers move to Mexico.
Both candidates contend that trade relations with China, specifically most-favored-nation status, should be tied to improved human-rights policies in China, especially in the wake of the Chinese Government's crackdown on pro-democracy demonstrators in Tiananmen Square in 1989.
But Mr. Abrams takes a harder line against the Chinese Government than Mr. D'Amato, saying ""the furthering of democratic principles and human rights should be at the cornerstone of foreign policy"" with China.
The Senator called China a ""very, very difficult situation.""
In July 1991, he voted against granting most-favored-nation status to China because of Tiananmen Square. 
Less than two years later, when the issue came before Congress a second time, he voted with the minority to grant most-favored trade status as a way to encourage the Chinese leadership to adopt more democratic principles.
But a month later, after the President vetoed Congressional rejection of favored-nation trade status, the Senator joined 59 other senators in an override vote that fell 7 votes short.
Mr. Abrams contended that Mr. D'Amato's change in position represented either an inconsistency in position or political opportunism, in that it never appeared that the Senate would gather enough votes to deny China the preferred status.
The Senator disagreed, saying his initial support in 1991 was based on the President's satisfying concerns of Congress through an executive order that, among other things, protected Chinese students living in the United States by not forcing them to leave. 
His override vote, he said, was cast in the spirit of supporting human rights.
Both candidates chided the Bush Administration for reacting too slowly to help Russia toward democracy and a market economy. 
Both would encourage investment to further open Russia to American products.",0,mr,HWBUSH,HW Bush (1989-1992)
2 Skulls in China_ Early Humans Outside Africa_.txt,"ï»¿
Anatomically modern human beings, believed by many scientists to have first evolved in Africa, may have independently evolved in China and other parts of the world, a joint American-Chinese anthropological team has concluded.
That finding, being reported today in the British journal Nature, is based on the sizes and features of two very old skulls excavated from a site in China's Hubei Province.
The scientists, led by Dr. Li Tianyuan of the Hubei Institute of Archeology and Dennis A. Etler, a post-graduate student in anthropology from the University of California at Berkeley, believe the skulls are at least 350,000 years old and may represent a transition between Homo erectus and Homo sapiens. 
They describe the crania, or brain cases, of the two skulls as the most complete ever found in Asia for fossils of such great age.
Other scientists say the age of the skulls has not been determined precisely enough to support the conclusion that their owners actually lived at about the same time Homo sapiens appeared in Africa. 
But one matter on which paleoanthropologists appear to agree is that if the great age of the Chinese skulls can be confirmed, those specimens will be extremely valuable in helping to decipher the history of human evolution.
Â 
More Modern Features
The two skulls and other contemporary fossils were excavated by Dr. Li and a Chinese team in 1989-90. 
Although Chinese authorities have not allowed either the skulls or plaster casts made from them to leave China on loan, Mr. Etler, who speaks Mandarin, was permitted to work with Dr. Li in a collaborative study.
From the structure of rock sediments in which the skulls were embedded and from the remains of other animals in the same sediments, the scientists inferred that the human skulls date from the middle Pleistocene epoch some 350,000 or more years ago. 
More precise dating by measurement of ratios of radioactive isotopes has not been completed, Mr. Etler said in an interview.
Dr. Li and Mr. Etler evaluated 28 characteristics of the skulls, comparing them with comparable characteristics of other fossil human skulls. 
The best preserved of the two Chinese fossils has a long, low cranial vault, parietal bones that converge in a characteristic way, and other features that mark it as belonging to the species Homo erectus, the precursor of Homo sapiens. 
Homo erectus appeared in the fossil record some two million years ago and survived until less than 500,000 years ago.
But Dr. Li and Mr. Etler found other characteristics in the Chinese fossils not typical of Homo erectus but more similar to those of Homo sapiens -- the immediate ancestors of modern man (which is designated Homo sapiens sapiens). 
The more modern features include a rather flat face and sharply angled cheek bones. 
The Chinese skulls thus appear to the two scientists to represent a transitional blend of Homo erectus with Homo sapiens.
Paleoanthropologists are in broad agreement that Homo erectus originated in Africa and later migrated to other parts of the world. 
Among the first fossils scientists discovered of that species (formerly called Pithecanthropus erectus) were those unearthed before World War II in Java and China, and Homo erectus has also been found in Greece and elsewhere in Europe.
But there is little agreement among anthropologists as to where Homo sapiens started out.
""Dr. Li and I believe that alternatives to the idea that Homo sapiens originated in Africa are possible,"" Mr. Etler said. 
""We believe that modern man may have developed independently in various parts of the world from Homo erectus ancestors, migrating, intermingling, and finally fusing together as a kind of amalgam that we call Homo sapiens. 
Another possibility is that Homo sapiens actually began in China and radiated from there.""
Dr. Philip Rightmire of the State University of New York at Binghamton is one of the scientists who sharply disagree.
""This is a controversial subject,"" he said, ""but I do not believe in a multiregional origin for Homo sapiens.""
The history of the human genus is one of movement, which for Homo erectus, began from Africa about one million years ago, he said. 
The hypothesis that modern man might have evolved first in Asia is not supported by any evidence, including the fossils studied by Dr. Li and Mr. Etler, he said.
Dr. Rightmire, who has examined photographs of the fossils, believes they are those of early Homo sapiens, not Homo erectus, and that their estimated age of more than 350,000 has yet to be proved. 
The features that Dr. Li and Mr. Etler believe mark the fossils as those of Homo erectus are so badly distorted, Dr. Rightmire said, that no conclusions can be drawn from them.
""Paleoanthropology is always controversial, even when specimens are well preserved, which these skulls are not,"" he said. 
""Neither the dates of the fossils nor their original shapes, which are squashed and crusted with some of the rock in which they were embedded, are yet known with any accuracy.""
Mr. Etler acknowledged that the bones are too distorted to make definitive measurements, but said their general forms are suggestive.
Â 
Role of Ethnic Pride
""Others may disagree with our interpretation, and that's fine,"" he said. 
""But we felt it was important to bring this great Chinese material to the attention of scholars in the West.""
Some scientists, including Dr. Rightmire, suggest that Chinese ethnic pride might color contentions by Chinese scientists that modern human beings might have evolved in China rather than Africa. 
Dr. Etler counters that a similar but opposite bias may color the theorizing of British and American paleoanthropologists who work exclusively with African fossils.
The recent discovery of a 1.6-million-year-old Homo erectus jawbone in the former Soviet republic of Georgia suggests that that species migrated from Africa much earlier than was formerly believed, and that modern man therefore had plenty of time to develop from his primitive ancestors in many parts of the world besides Africa, Mr. Etler said.",5,art,HWBUSH,HW Bush (1989-1992)
