file,text,topic_cluster_id,topic_label,era,era_label,topic_category,topic_category_label
"China_s Plans to Make Family Car Are Receding, Official Says.txt","ï»¿
China's ""family car"" project, an idea that got Western auto makers salivating when they were invited to submit prototypes last year, is likely to be delayed until well into the next century, a senior Chinese official said today.
In the first public comments on the family car by a senior member of China's car bureaucracy since last fall, Huang Fuheng, general manager of the China National Automotive Industry Sales Corporation, said that making family cars salable would be a ""very long and very complicated"" process.
""It's going to be 10 or 15 years before a family car becomes feasible in China,"" Mr. Huang said in an interview. 
""It's a complicated process, not something that we can do in a day.""
When Beijing held an exhibition for 20 leading foreign car makers last September, some officials suggested China would choose a single model, and could start producing them within five years.
Ford Motor Company recommended a model from its Fiesta line in Europe. 
Mitsubishi of Japan offered a mini-van while General Motors pushed a Corsa model from Adam Opel, its German subsidiary.
But Chinese auto officials fell silent after the exhibition, causing confusion among car makers. 
Mr. Huang's comments, coming shortly after an internal Government meeting on the family car project, indicated that car officials are divided about how to proceed.
""There are some people in our planning departments who favor a single model,"" Mr. Huang said. 
""My idea is that the family car should not be done in one factory, or in one model. 
There are several different kinds of cars needed in China.""
He also conceded that it would be hard to meet the original demands set out by Chinese car bureaucrats: that it will be modern, with air-conditioning and anti-lock brakes, be fuel-efficient and cost less than $10,000.
""If you make a car that's too old a model, no one will want it; if you make it fully modern, it will be too expensive,"" he said.
The vast majority of the 1.4 million vehicles made in China last year were trucks; passenger cars totaled only 250,000, and most of those were purchased by Government work units, which can afford a $30,000-$50,000 sedan for their senior officials.
Chinese officials said last year that they want to consolidate the domestic market -- now composed of 120 or so small, inefficient plants making trucks -- into a handful of large companies that can push total production to 3 million by 2000, with more than a million of them cars. 
By 2010, they said, China should be producing 8 million vehicles, making it the world's second-largest auto market, after the United States.
Their comments, and China's booming economy persuaded several foreign auto makers that it was time to enter the Chinese market seriously. 
Yet the market they are entering is plagued by a poor supply network, an inexperienced labor force, and high tariffs that limit imports of autos and parts.
Foreign auto executives said today that Mr. Huang's comments clarified a situation they had already begun to sense: that priority is likely to be given to building a car component industry, and that plans for several new passenger car projects will be pared down.
""The family car is definitely way down the line,"" said Stephanie Hallford, a Ford executive in China. 
""For him to say that is not really out of context from what we've understood.""",5,car,CLINTON,Clinton (1993-2000),CATEGORY_12,"venture, honda, car"
COMPANY NEWS_AID TO CHINA_S AUTO INDUSTRY IS PLANNED.txt,"ï»¿
The Japanese auto maker Toyota plans to help China's fledgling auto industry by sharing managerial expertise and technology, the company's president, Tatsuro Toyoda, said yesterday in Beijing. 
After meeting with the Chinese Prime Minister, Li Peng, Mr. Toyoda also said his company hoped to begin making cars in China in 1996. 
Mr. Toyoda did not provide details of a planned assembly plant, saying the project would be decided by the Chinese Government and Chinese partners. 
But Japanese news media reported that Toyota planned to begin a large-scale manufacturing project with Tianjin Automotive Industrial Group. 
Tianjin Automotive currently assembles cars under an agreement with the Daihatsu Motor Corporation, a small-car maker affiliated with Toyota.",5,car,CLINTON,Clinton (1993-2000),CATEGORY_12,"venture, honda, car"
COMPANY NEWS_HONDA TO START NEW VENTURE IN CHINA.txt,"ï»¿
Just three weeks after the Chinese Government began cracking down on runaway economic growth, the Honda Motor Company is shrugging off concerns of an economic squeeze to move ahead with its first passenger car production agreement in China. 
The Japanese auto maker said yesterday that it had signed an accord with the Yancheng Automobile Company of Guangzhou, near Hong Kong, to assemble Civic sedan passenger cars at Yancheng's existing factory, beginning in November.",5,car,CLINTON,Clinton (1993-2000),CATEGORY_12,"venture, honda, car"
COMPANY NEWS_JOINT VENTURE IN CHINA TO MANUFACTURE PUMPS.txt,"ï»¿
The ITT Corporation said yesterday that it had agreed to form a joint venture in China to manufacture sewage pumps and mining pumps. 
ITT will have a 65 percent stake in the venture with the Jinbei Automobile Company of Shenyang, China. 
The new company will employ about 100 people and make about 15,000 pumps a year, according to Leif E. Carlsson, the president of ITT Flygt A.B., a Swedish unit of ITT. 
Jinbei, which employs 40,000 people, is the 35th-largest industrial enterprise in China.",5,car,CLINTON,Clinton (1993-2000),CATEGORY_12,"venture, honda, car"
Daimler in China Venture.txt,"ï»¿
Daimler-Benz A.G. said today that it had started a joint venture with a Chinese partner to manufacture buses. 
The new company, to be based in Guangzhou province, will be called Yaxing-Benz and will be the largest Asian bus manufacturer. 
Daimler-Benz and Guangzhou Motor Coach Manufacturer each hold 50 percent in the joint venture. 
Yaxing-Benz will build 8,500 buses a year.",5,car,CLINTON,Clinton (1993-2000),CATEGORY_12,"venture, honda, car"
Deere Venture in China.txt,"ï»¿
Deere & Company, the world's largest maker of tractors and combines, said this week that it had formed a joint venture with the Tianjin Tractor Manufacturing Company to improve sales by expanding geographically. 
Deere will own 51 percent of the John Deere Tiantuo Company, which will make and sell four models of tractors in China. 
The companies jointly invested about $21 million in the venture, which is based 100 miles southeast of Beijing in Tianjin, China.",5,car,CLINTON,Clinton (1993-2000),CATEGORY_12,"venture, honda, car"
G.M. Advances in Bid for China Venture.txt,"ï»¿
The General Motors Corporation has been named the top candidate in competition to negotiate a joint venture with the Chinese Government to build small cars in China, the company said today.
General Motors and the Beijing Government recently signed a memorandum of understanding that essentially makes the company the sole negotiating partner for the venture, a G.M. spokesman, Michael Meyerand, said.
Honda Motor, Hyundai of South Korea and the German auto makers BMW and the Mercedes-Benz unit of Daimler-Benz were competing for the project. 
It would provide a major foothold in what is expected to become one of the world's fastest-growing and largest automotive markets in the next century.
If successful, G.M.'s Opel AG European subsidiary will probably operate its end of the 50-50 joint venture. 
It is expected to build Opel Corsas or Astras, although the exact product is subject to negotiation, the G.M. spokesman said.
The product could end up being a variant of the new mini-car that G.M. this week said it planned to build in Brazil for the South American market, he said.
Production could reach as many as 100,000 units a year. 
The project would involve updating a plant in the southern city of Guangzhou. 
Peugeot Citroen, which holds a 22 percent stake in the plant, has been seeking to leave the venture.
G.M.'s project, if approved, would be the auto maker's third major production operation in China. 
It has a truck-assembly joint venture that is under construction in the northeastern city of Shenyang, and it recently got approval for a $1 billion joint venture scheduled to begin building midsize Buick sedans in Shanghai in late 1998.",5,car,CLINTON,Clinton (1993-2000),CATEGORY_12,"venture, honda, car"
GE Plastics in China.txt,"ï»¿
GE Plastics is building a $50 million plant in China to sell its goods to that growing market. 
The Pittsfield-based division of the General Electric Company makes high-performance thermoplastics for cars, computers, telephones and other goods. 
The plant in the southern Chinese city of Nansha will be able to produce 20,000 tons of thermoplastics a year. 
It will be GE Plastics' first plant in China.",5,car,CLINTON,Clinton (1993-2000),CATEGORY_12,"venture, honda, car"
Goodyear in China Deal.txt,"ï»¿
Chinese authorities have approved the Goodyear Tire and Rubber Company's venture with Dalian Rubber General Factory, the company said today. 
Goodyear said it would invest about $30 million to upgrade Dalian's machinery and processes and increase production of radial auto tires from a million tires a year to 1.4 million.",5,car,CLINTON,Clinton (1993-2000),CATEGORY_12,"venture, honda, car"
Honda Seeks China Sales.txt,"ï»¿
The Honda Motor Company, Japan's third-largest auto maker, said today that it would open about 100 sales outlets in China by April 2001 as it starts producing cars in China, the world's most populous country. 
Honda will open 30 outlets jointly with Chinese automobile dealers next month when Chinese production of the midsize Accord sedan begins, Yuzuru Matsuno, a Honda spokesman, said. 
Production will be at Honda's factory in Guangzhou, where the company expects to produce 100,000 Accords by 2001.",5,car,CLINTON,Clinton (1993-2000),CATEGORY_12,"venture, honda, car"
