file,text,topic_cluster_id,topic_label,era,era_label,topic_category,topic_category_label
A BREAKTHROUGH FOR NERVOUS HU NA.txt,"ï»¿
She played her first match of the 1982 Federation Cup tournament on a July evening in Santa Clara, Calif., and wasn't seen again in public for eight months. 
Hu Na hid in the homes of sympathetic Chinese families on the West Coast during that time, hoping one day to be granted asylum in the United States. 
Her second wish was to pursue a professional tennis career.
Miss Hu's defection caused an international incident and her whereabouts had all the intrigue of a spy novel. 
The Chinese Government suspended several cultural exchanges with the United States, which eventually granted Miss Hu asylum on April 4, 1983, in Washington. 
She played her first professional match two months later.
Hu Na, who defected to United States from China in 1982, defeats Annabel Croft of Britain in first-round match at Wimbledon; photo (M)
But Miss Hu was not to become another Martina Navratilova, who defected to the United States from Czechoslovakia when she was already one of the highly ranked players in the world. 
Miss Hu was a champion in China but only a qualifier on the women's tour.
''It was very hard because the players were so good,'' she said. 
''I got discouraged because every time my game went up, I'd get injuries.''
Miss Hu is ranked 150th in the Women's Tennis Association rankings but has made the biggest tournament in the world the site of her professional breakthrough. 
She qualified for Wimbledon by winning three difficult matches last week and today became the first Chinese-born player to win a match in the main draw, defeating Annabel Croft of Britain, 6-3, 7-5, in a first-round match.
Â 
'Cracks Under Pressure'
Although Miss Croft may not be well known herself, she is ranked 40th and was the favorite of the hometown crowd. 
It earned her a place on Court One, which is adjacent to Centre Court and usually draws the second- biggest crowd. 
''I was nervous,'' Miss Hu said. 
''There were so many people who came out to see us.''
Miss Hu is 22 years old but her game is just developing. 
The lack of top quality competition in China is one reason, and the customary slow progress made by serve-and-volley players is another. 
At times, it seems as if she has disappeared once again. 
''I think she's improved a lot,'' Miss Croft said. 
''I've been told by other players that she cracks under pressure.''
Any pressure she may face on the tennis court, however, would not begin to compare to what she encountered when she defected. 
She received letters that were reportedly written by her parents, pleading for her return to China. 
She was homesick and did not speak English.
''My English wasn't very good,'' Miss Hu said. 
''I watched 'Three's Company' and 'The Love Boat.'
Jack Tripper was my first teacher.''
Â 
Potential in Question
Jack Tripper is the character played by John Ritter in the television show ''Three's Company.''
Miss Hu has since had other instructors. 
She is attending the United States International College in San Diego, where she lives in a Chinese community with several families, spending a few months with each. 
She speaks English well enough to face her interviews without the aid of an interpreter.
She said she never questioned her decision to leave China. 
Newspaper accounts at the time said that Miss Hu was reluctant to join the Communist Party, as her coach in China requested. 
She said she preferred not to talk about those things today.
Her potential as a player remains in question. 
She has been tutored by such notable coaches as Vic Braden, Harry Hopman and Nick Bollettieri, but has advanced as far as the quarterfinals only three times in 23 tournaments, and those were on the satellite tour. 
She has earned $7,000.
At this point, however, she appreciates some things that most players take for granted. 
It was a thrill for her, she said, to be able to play a match without braiding her hair.",3,team,REAGAN,Reagan (1981-1988),CATEGORY_3,"nba, won, league"
"All Is Forgiven, Peking Tells a Tennis Defector.txt","ï»¿
A Foreign Ministry spokesman said today that a 19-year-old Chinese tennis player who defected to the United States last summer would not be prosecuted if she returned home.
The player, Hu Na, said last week that threats from Chinese Communist Party officials frightened her into seeking asylum.
PEKING, March 25 (AP) - A Foreign Ministry spokesman said today that a 19-year-old Chinese tennis player who defected to the United States last summer would not be prosecuted if she returned home.The spokesman said that if Miss Hu returned to China, she would be sent soon to play in an international tournament in Switzerland. 
Miss Hu is still awaiting formal United States approval of her application for political asylum. 
She said earlier this week that just before she left China to play in the Federation Cup tournament in Santa Clara, Calif., last summer, high-ranking party officials told her she was ''embarrassing'' the Communist Party by refusing to join.
The Foreign Ministry spokesman said in a statement: ''In recent years Hu Na frequently went abroad to take part in international competition after she was trained as a tennis player. 
The Chinese Tennis Association has declared that so long as Hu Na makes up her mind and returns home, the association will still send her to participate in an international tournament to be held in Switzerland in June this year. 
Therefore the question of prosecuting her did not exist in the past nor will it arise after her return to China.''",3,team,REAGAN,Reagan (1981-1988),CATEGORY_3,"nba, won, league"
Bridge_ 2 Women Are First Chinese In Major International Event.txt,"ï»¿
In this decade, bridge has boomed in China, but its players have never taken part in a major international invitational event. 
That barrier will be broken when Gu Ling and Zhang Yalan of Canton play tomorrow and Sunday in the prestigious Invitational Charity Pairs at the Cavendish Club, at 105 East 73d Street in Manhattan.
Gu and Zhang were members of the team that won the Far East women's championship in Kuala Lumpur, Malaysia, six months ago.
In the 1986 world championships in Miami Beach, they finished 12th in the women's pairs, the best result by players outside North America and Europe. 
They were aided by the diagramed deal, which began with a Precision one-club bid, strong and artificial, and landed Zhang in six clubs.
The diamond queen was led and the dummy proved slightly disappointing. 
South was hoping to ruff a major-suit loser but that was not possible. 
There were only 11 tricks in sight, and a squeeze was needed for the 12th. 
The key move in such situations is to concede quickly the tricks you are willing to lose, so after winning the diamond ace, South entered dummy with a trump lead to the ten, led a heart and played low from her hand.
West won and fell into the trap by leading the diamond jack. 
South ruffed in her hand and led all her trumps to reach this position:
When South cashed the spade king and led to the ace, West was forced to throw a heart to preserve the diamond guard. 
Then the play of the diamond king ruined East, who had to unguard one of the major suits and allow the slam to succeed.
Zhang had brilliantly executed a ''non-simultaneous double squeeze,'' and West was left to discover that she had missed a chance for a fine counterstroke. 
A heart return at the fourth trick would have removed a vital entry to the South hand and no squeeze would have been possible.",3,team,REAGAN,Reagan (1981-1988),CATEGORY_3,"nba, won, league"
"Bridge_ Brother, Sister and Father Have Sought World Titles.txt","ï»¿
To have two members of the same family, related by blood rather than marriage, qualify for world championship play with different partners is quite rare.
A notable American example is B. Jay Becker and Michael Becker, a father-son combination who qualified as teammates, but not partners, in 1973. 
The late Oswald Jacoby won a world title in 1935 and was the nonplaying captain when his son Jim won one of his three world titles 35 years later. 
And a brother-sister combination, Bill Seamon and Edith Kemp, have international credentials.
A recent example is the Gu family from Canton, China. 
Gu Xing was a member of the Chinese team at the 1984 world championships in Seattle. 
His sister, Gu Ling, playing with Zhang Ya-Lan, finished 12th in the 1986 World Women's Pairs in Miami Beach, the highest position for any pair not coming from Europe or North America. 
And their father, Gu Xuenan, was the nonplaying captain of one of the Chinese teams in Miami Beach.
Â 
City College Student
Gu Xing is currently a New York City resident, studying at City College for a master's degree in mathematics. 
In a recent duplicate game at the Beverly Club, he held the South cards and landed as shown in six clubs. 
The opening no-trump was the intermediate variety, promising 14-16 high-card points, and the response of two diamonds was game-forcing Stayman.
Six clubs appears to need an even trump split, slightly against the odds. 
But as South demonstrated, there is a secondary chance. 
He won the opening spade lead with the ace and cashed two trump winners. 
When these failed to break, he took all his winners in the major suits and led a club. 
This end-played West, who had to give a ruff and sluff or lead a diamond away from the king.
South was probably relieved that the enemy trump trick was on his left. 
If it had been on his right, he would have a difficult guess, with nothing to guide him, when East eventually led a diamond. 
Notice that six no-trump would have failed, for West would have been able to lead a heart when he gained the lead.
Preliminaries in the Grand National Team Championships will be played at these clubs in Manhattan: Academy, Nov. 
20 and Nov. 
21, evenings. 
(Information: 212-988-1542) Beverly, Nov. 
23, all day; Dec. 
5 and Dec. 
12, afternoons; Dec. 
14, all day; Dec. 
16 and Dec. 
17, evenings. 
(212-486-9477) Manhattan, Tomorrow and Nov. 
15, evenings; Nov. 
16 and Nov. 
23, afternoons. 
(212-799-4242)",3,team,REAGAN,Reagan (1981-1988),CATEGORY_3,"nba, won, league"
Bridge_ New Yorkers to Compete In Niagara Falls and China.txt,"ï»¿
Players from New York City will compete in two rather unexpected places a month from now. 
For the Spring Nationals, starting March 19, a large group will visit Niagara Falls, N.Y., where the scenic splendor will be available for the first time to participants in a national championship.
Some critics have expressed doubts about the adequacy of the hotel accommodations. 
Normally, such events are held in a large hotel, and the players stay there; in this case, there is no hotel big enough and the players will stay in various places.
Bridge column discusses how New York players will compete in Spring Nationals in Niagara Falls (NY) and in ChinaA Smaller Group in China
A much smaller group will be in Hangzhou, China, at the same time, competing in a tournament that is likely to attract players from many parts of the Far East. 
Leading the group will be Barbara Metselaar of Scarsdale, N.Y. 
For information, call (914) 472-6200.
In a recent duplicate game in Larchmont, N.Y. 
Mrs. Metselaar held the South cards. 
She decided reasonably enough to open one no-trump on the basis that her 15 points were ''good.''
In such cases the possession of some aces and tens, or the lack of them, is usually the deciding factor.
An opening one-club bid might have led to a two-heart contract (1 C, 1 D, 1 H, 2 H) but a Stayman auction carried the partnership quickly to game.
After the opening lead of the club king there were two obvious plans. 
South could have tried to ruff all her club losers in dummy, or she could have attempted to develop dummy's diamonds.
Â 
Adopts a Less Obvious Plan
Both these plans would have led to difficulties and likely defeat. 
South adopted a third and less obvious plan. 
She ruffed the opening lead in dummy and immediately attacked spades, leading to the ten. 
Spades had to be attacked sooner or later, and sooner was better.
There was a risk, of course, that the defense would be able to take two spade tricks and a spade ruff, but that would leave South in control if the defender with three trumps did the ruffing.
The defenders might not have found their spade ruff even if one was available. 
As it happened, there was not. 
When West won with the queen she shifted to a trump in an attempt to stop ruffs. 
This did not hurt South at all. 
She won, ruffed a club and drew trumps. 
By driving out the spade ace she was able to maneuver to discard her remaining club loser on the spade jack. 
She had made an overtrick in a contract that failed at several other tables.
The North Jersey Winter Tournament begins today in the auditorium of the Guardian Angel Church in Allendale, with this schedule: Today - Men's pairs and women's pairs, 1:30 P.M.; mixed pairs, 8 P.M. Tomorrow - Flighted pairs, 1:30 P.M.; open pairs and novice pairs, 8 P.M. Sunday - Flighted Swiss teams, 1 P.M. and 7 P.M.
Â 
NORTH S J 8 4 2 H 6 4 3 2 D A K 9 6 3 C -
WEST EAST (D) S Q 9 5 S A 7 3 H 9 7 H Q 10 5 D J 8 D Q 10 7 2 C K Q J 7 4 2 C 9 8 5
Â 
SOUTH S K 10 6 H A K J 8 D 5 4 C A 10 6 3
Both sides were vulnerable. 
The bidding: East South West North Pass 1 N.T. 
Pass 2 C Pass 2 H Pass 4 H Pass Pass Pass
West led the club queen.",3,team,REAGAN,Reagan (1981-1988),CATEGORY_3,"nba, won, league"
Bridge_EAST MEETS EAST.txt,"ï»¿
The recent emergence of the People's Republic of China on the bridge scene inevitably raised the delicate question: Would the players of Taiwan meet their mainland cousins over the table?
The answer appears to be that they will do so next month in a tournament beginning in Hong Kong on Aug. 
27. There will be teams from Beijing, Shanghai and Canton, and two teams from Taiwan that include several players who have done well in world championships. 
This will be the first face-to-face encounter between the two Chinas in any sport or recreation. 
Perhaps head-to-head would be a better term, since the players will be at 90-degree angles.
Teams from China and Taiwan will meet at bridge tournament starting in Hong Kong on August 27; diagram of US-Chinese bridge game from March 1981
The People's Republic has shown great eagerness to test its newly developed bridge skills against world-class players. 
A group headed by Jimmy Ortiz Patino, president of the World Bridge Federation, and including world champions Christian Mari and Michel Perron of France visited China in May, playing in Beijing, Shanghai and Hangzhou.
In March, a large American contingent organized by Precision star Kathie Wei played in Shanghai in the first Chinese international tournament. 
The diagrammed deal, played in a match between one of the American teams and one of the Japanese teams, gave opportunities to both declarers in six diamonds. 
It was furnished by Zhou Qi of Shanghai, an enthusiast who not only studies the game deeply but also directs Shanghai tournaments with great efficiency.
At one table, as shown, the slam was reached without interference. 
The two-diamond opening bid by the Tokyo South, Kanazawa Masaji, showed a powerful distributional hand with at least eight playing tricks.
The opening lead by Judi Radin of New York was the club jack, and this was covered with the queen, king and ace. 
Not having X-ray vision, South led the diamond jack to the king in dummy and found himself facing a sure trump loser. 
He threw his club loser on the spade ace and ruffed a spade.
South now cashed the diamond ace and played another trump, leaving West on lead in this position:
Â 
NORTH S 9 4 H K 10 9 D - C 9 3
WEST EAST S - S Q 10 H J 8 3 H Q 7 5 D - D - C 10 8 6 4 C 5 2
Â 
SOUTH S - H A 6 2 D 10 9 7 5 C -
Mrs. Radin was now endplayed. 
She could not afford to lead a club, and tried the heart jack, the best chance. 
She hoped to convince the declarer that she was making a cunning falsecard from a queen-jack holding, but South played with the percentages by winning in dummy and finessing against East's queen. 
West was about twice as likely to have begun with one honor as with two. 
It might seem that South was lucky to find that West had no more spades. 
But if West had held a third spade, it would not have helped to lead it in the diagrammed position. 
South would have run out all his trumps, executing a double squeeze. 
Each defender would have to protect a black suit, and the heart six would score the last trick in the closed hand. 
In the replay, the Japanese East player crowded the auction by opening three spades. 
When South's overcall in diamonds was raised, he continued to slam, a sequence that was certainly appropriate here, although it sounds like a double-cross. 
West now led the spade king, and the South player, former world champion Michael Lawrence, was able to adopt a slightly different procedure. 
He won in dummy with the ace, throwing a heart rather than a club from his hand. 
A small diamond was led to the ace, leaving the king as an entry to dummy. 
When East discarded, there was still work to be done. 
The ace and king of hearts were played, and a heart ruff established a trick in the suit and permitted a club discard later to make the slam. 
If West had produced an honor on the second round of hearts, Lawrence would have had to think hard about the location of the other honor.
Â 
NORTH S A 9 4 3 H K 10 9 4 D K 8 C Q 9 3
WEST EAST(D) S K J S Q 10 8 7 6 5 2 H J 8 3 H Q 7 5 D Q 6 3 D - C J 10 8 6 4 C K 5 2
Â 
SOUTH S - H A 6 2 D A J 10 9 7 5 4 2 C A 7
Both sides were vulnerable. 
The bidding: East South West North Pass 2 D Pass 2 S Pass 3 D Pass 4 D Pass 4 H Pass 5 H Pass 6 D Pass Pass Pass
West led the club jack.
ADD TO BRIDGE COLUMN
In the bridge column that appeared last Sunday the final bid shown in the diagram should have been six spades, not four spades, and West should have been shown with the club queen, not the king.",3,team,REAGAN,Reagan (1981-1988),CATEGORY_3,"nba, won, league"
Bridge_KEEPER OF THE FLAME.txt,"ï»¿
The most dedicated lover of the game to compete in the recent Fall Nationals in San Francisco was surely Dr. C.P. Chang of Shanghai, a physician of great professional distinction. 
For almost half a century he has been the only resident of the Chinese mainland to be a member of the American Contract Bridge League. 
He learned the game in 1924 as a student at the Peking Union Medical College. 
His medical career took him to the United States in the 30's, where he played with success in Philadelphia and Chicago.
He has been a principal force in keeping the game alive in Shanghai during the past 30 years, in the face of official discouragement. 
As a result, the switch three years ago, which gave bridge not only tolerance but encouragement, left Shanghai in the lead, and their players are now by far the best in China.
Bridge column diagrams plays by Dr C P Chang, of Shanghai (China), who is only resident of China to be member of American Contract Bridge League
At the age of 76 this cheerful and indomitable man, brushing aside the handicap of two artificial legs, traveled from Shanghai to San Francisco to take part in the Nationals.
The diagramed deal, played in Shanghai, is an example of his considerable ability. 
He sat South and had a difficult rebid when his partner responded one spade; one d iamond would have been better and would not have created a problem. 
The two-club rebid was not entirely sati sfactory, but neither was anything else.
When North continued by bidding two diamonds, Dr. Chang took a shot at three no-trump, satisfied that he was well-armored in the unbid heart suit.
Dummy's second suit is often the one for the defense to attack, and West decided to lead diamonds. 
But instead of the three he selected the queen, a mild eccentricity that came close to luring South to defeat.
The diamond queen was captured with the ace, and the club queen was led for a finesse. 
West held up his king, and did so again when the ten was led around to him. 
But he naturally took his king when a club was led to the jack. 
Meanwhile, East discarded two hearts.
A diamond was led to the jack, removing South's nine. 
East was now on lead in this position:
Â 
NORTH S A J 8 4 H 4 3 D 10 7 C -
WEST EAST S K 7 3 S 10 9 6 5 H K 8 6 H 10 9 D 2 D K 8 C 9 C -
Â 
SOUTH S Q 2 H A Q J 2 D - C A 8
When East now shifted to the heart ten, it was very tempting to finesse. 
If West had made a normal opening lead, this would be safe, for he would have no more diamonds to lead. 
But Dr. Chang suspected that West had made a tricky lead. 
Instead of finessing - and suffering immediate defeat after another diamond play -he put up the heart ace and cashed two club winners. 
This put some pressure on East, who gave up one spade and, reluctantly, his remaining heart. 
If he had thrown another spade, South could have made three tricks in that suit by force. 
And if he had parted with a diamond, it would have been safe for the declarer to lead a heart honor. 
As it was, the stage was now set. 
The spade queen was led, and West was forced to cover. 
The ace won, the jack was cashed, and another spade lead end-played East. 
He was left with two diamonds, and the ten in dummy won the last trick to fulfill the game. 
Instead of diamonds being South's downfall, they turned out to be his salvation. 
This was a fine playing effort by a remarkable man. 
And when at some future time, as is very likely, the Shanghai players make their mark in world bridge as representatives of the People's Republic, Dr. Chang will deserve at least some of the credit.
Â 
NORTH S A J 8 4 H 4 3 D A 10 7 3 C Q 10 2
WEST EAST S K 7 3 S 10 9 6 5 H K 8 6 H 10 9 7 5 D Q 5 2 D K J 8 4 C K 9 5 4 C 7
SOUTH(D) S Q 2 H A Q J 2 D 9 6 C A J 8 6 3
North and South were vulnerable. 
The bidding: South West North East 1 C Pass 1 S Pass 2 C Pass 2 D Pass 3 N.T. 
Pass Pass Pass
West led the diamond queen.",3,team,REAGAN,Reagan (1981-1988),CATEGORY_3,"nba, won, league"
BRIDGE_SHANGHAI PREVIEW.txt,"ï»¿
The international bridge scene will be marked in 1981 by the full emergence of the People's Republic of China. 
After many years of banning bridge as a bourgeois activity the Chinese government, perhaps influenced by Deng Xiaoping who is himself a player, indulged in a complete volte-face at the beginning of l979.
Within a year there were hundreds of teams taking part in competitions, indicating perhaps that the game had flourished in secret. 
Three months ago the Chinese joined the World Bridge Federation on terms that allowed the continued membership of Taiwan. 
Late this year they will compete in the Far East Championship, but before that happens they will have organized the first major tournament on Chinese soil, scheduled March 6-11.
Bridge column discusses full emergence of People's Republic of China into international bridge scene in 1981
The site will be Shanghai, which has repeatedly shown itself to be the strongest of China's bridge-playing cities. 
Invitations have been sent to 20 cities, mostly in Asia. 
A special invitation has been sent to Taipei, and its acceptance would be a historic landmark: the first direct meeting of players from Taiwan and the People's Republic in any sport or recreation.
Since some cities may send more than one team, and there will be several Chinese cities taking part, the total entry is likely to be between 40 and 50. 
Since the organizers are inexperienced there may be some problems, and there will be surprises for the American participants. 
The boards will consist of plastic wallets rather than metal trays, and the bidding will be written down in order to minimize language problems.
There will be four American teams including some famous players: Kathie Wei and Judi Radin of New York, the reigning world women's pair champions; Dorothy Hayden Truscott, the world's top-ranked woman player and reigning world women's team champion; Mike Lawrence of Berkeley, Calif., a former world team champion; and Ron Andersen of New York, whose score in winning the l980 McKenney Trophy, awarded for overall tournament performance, set a new record.
Also in the American party will be Jim Zimmerman of Shaker Heights, Ohio, President of the American Contract Bridge League for 1981. 
He is one of the strongest players to have held that office, and he demonstrated his skill in cardplay on the diagramed deal from a recent Regional Swiss Team Championship in Detroit.
Most players holding the South cards shown would be content with a game invitation after one heart had been raised to two hearts. 
But the good distribution and possession of three aces made Zimmerman's jump to game a reasonable gamble. 
North might well have declined an invitation, in which case a sound game would have been missed. 
It would be easy to make ten tricks if either red suit lay favorably, and although they did not, South survived.
West led the king of clubs and continued the suit. 
South ruffed and cashed the ace and king of hearts, discovering that East had a trump winner. 
The diamond queen was led for a finesse, losing to West's king. 
West should now have returned a diamond, but he helped South on his way by playing a third round of clubs.
Now South was able to ruff, lead to the diamond ten and ruff the last club in dummy. 
He then played his diamond winners and it did not matter whether or not East ruffed. 
He refused to do so, postponing the evil day, and Zimmerman led his last trump at the 11th trick. 
East had to win and lead from the spade king to give the declarer his contract.
Â 
NORTH S Q 7 3 H K 10 4 D Q 10 8 C 7 6 3 2
WEST EAST S J 9 6 2 S K 8 5 4 H 9 H Q J 3 D K 7 5 4 D 6 2 C K Q 10 8 C A J 9 5
Â 
SOUTH(D) S A 10 H A 8 7 6 5 2 D A J 9 3 C 4
North and South were vulnerable. 
The bidding: South West North East 1 H Pass 2 H Pass 4 H Pass Pass Pass
West led the club king.",3,team,REAGAN,Reagan (1981-1988),CATEGORY_3,"nba, won, league"
BRIDGE_TRICKY DEALING.txt,"ï»¿
The large group of American players, including many internationally known stars, competing in China's first international tournament that began last week are due for some surprises. 
The Shanghai Bridge Association will no doubt be gracious hosts but will inevitably suffer from organizational inexperience and a lack of equipment. 
For the following information I am indebted to Dr. Steven Fox of the Beijing Children's Hospital, Peking.
When the game of bridge became not only legal but officially encouraged in China two years ago, the result was an explosion of team play with hundreds taking part in each major city. 
Foreigners are barred, however, and there are no women players.
Bridge column discusses style of play used by Chinese bridge players as China hosts its first international tournament
There are no pair games, perhaps because the necessary organization and scoring are relatively sophisticated. 
One Chinese player offered a different explanation: ''No international competitions are matchpoint events, so why bother?''
This half-truth suggests that China will not be represented in the world pair championship in Biarritz, France, next year, and we may have to wait until 1984 to discover how well they can do in a world championship.
Since manufactured boards were not available, the first competitions were organized with an expedient used by many before: four small envelopes, one for each hand, in a large envelope. 
Now there are boards made of wood, with rubber bands holding the cards in place. 
In Shanghai there will be ''written bidding,'' a concept that will be new to the Americans.
This will take care of the language problem in bidding, but it will not help when explanations are needed. 
Chinese players do not 'alert' and consider it ungentlemanly to ask for explanations, so there is likely to be confusion and difficulty.
For the last six months the Peking Evening News has published a weekly bridge column. 
One of these included the venerable trick deal shown in the diagram, showing that a declarer may be able to make a small slam with a 2-2 trump fit if the defense slips on opening lead.
Exactly how South comes to play six hearts was not explained by the Peking journalist, but the auction shown in the diagram has some logic up to a point. 
South makes a waiting bid of three hearts at his third turn and then launches into Blackwood.
At the six-level he must decide whether or not to bid a grand slam in no-trump. 
He decides in the negative, since North could bid it himself with solid diamonds. 
But his negative takes the form of a pass, and he finds himself, to his horror, in a foolish contract of six hearts.
Thirteen tricks are available, as it happens, in no-trump, spades or diamonds, and six clubs is safe. 
But six hearts hinges on the opening lead.
Any expert worthy of his salt would lead a trump from the West hand; but West, perhaps confused by the auction and dazed by his trump length, produces the diamond queen. 
South happily takes eight winners in the side suits ending in his hand in this position
Â 
NORTH S - H K 7 D 8 7 6 C -
WEST EAST S - S - H 6 5 4 3 2 H Q J 9 8 D - D - C - C J
Â 
SOUTH S 2 H A 10 D - C 7 6
A club is led from the closed hand and dummy's seven overruffs West. 
On a diamond lead East does his best by playing a heart honor and is overruffed. 
A black card is ruffed with the heart king, and the heart ten in the closed hand scores en passant to bring home the slam.
Â 
NORTH S 5 4 3 H K 7 D A K 8 7 6 5 4 C 2
WEST EAST S J 9 8 S 10 7 6 H 6 5 4 3 2 H Q J 9 8 D Q J D 10 9 C 5 4 3 C J 10 9 8
Â 
SOUTH(D) S A K Q 2 H A 10 D 3 2 C A K Q 7 6
Both sides were vulnerable. 
The bidding: South West North East 1 C Pass 2 D Pass 2 S Pass 3 D Pass 3 H Pass 4 D Pass 4 N.T. 
Pass 5 D Pass 5 N.T. 
Pass 6 H Pass Pass Pass
West led the diamond queen.",3,team,REAGAN,Reagan (1981-1988),CATEGORY_3,"nba, won, league"
"China, Italy, U.S. Win Gold Medals.txt","ï»¿
Pat Spurgin of the United States shattered the American record and came close to a world mark today as she won the gold medal in the women's air rifle competition.
Li Yuwei won China's second shooting gold, taking the men's running game target.
Pat Spurgin of US shatters American record and comes close to world makr as she wins gold medal in women's air rifle competition; Li Yuwei wins China's second shooting gold, taking men's running game target; Luciano Giovanetti wins Italy's first gold medal, taking Olympic men's trap shoot title (S)
Luciano Giovanetti won Italy's first gold medal, taking the Olympic men's trap shoot title in a three-man shootout. 
Peru's Francisco Boza won the silver, and Don Carlisle of the United States took the bronze in trap shooting.
''I performed well,'' said Miss Spurgin, who lives in Billings, Mont. 
''I just wanted to come in and shoot well and have a little fun. 
I guess I did both.''
Miss Spurgin, 18 years old, scored a 393 out of 400. 
Italy's Edith Gufler won the silver, and the bronze went to Wu Xiaoxuan of China.
The American record in the event had been 391, while the world record is 395. 
Miss Gufler scored 391 and Miss Wu 389.
The silver in the running game target went to Helmut Bellingrodt of Colombia and the bronze to China's Huang Shiping.
Bellingrodt scored 584, and Huang was tied with West German Uwe Schroder at 581. 
The Chinese shooter won the bronze on the basis of more perfect rounds.",3,team,REAGAN,Reagan (1981-1988),CATEGORY_3,"nba, won, league"
