file,text,topic_cluster_id,topic_label,era,era_label,topic_category,topic_category_label
25 Trampled in China.txt,"ï»¿
Twenty-five people were trampled to death in two Chinese cities, and at least 220 others were injured during celebrations Wednesday of the Lantern Festival. 
Eighteen people were crushed to death in Xining, capital of Qinghai province, when 100,000 people who turned out to watch a lantern procession panicked, the official New China News Agency said today. 
Seven people were trampled to death in Lankao county, Henan province, as a crowd of 20,000 dispersed after watching a fireworks show, it said.",6,province,REAGAN,Reagan (1981-1988),CATEGORY_6,"province, floods, relief"
39 Die at China Building Site.txt,"ï»¿
Thirty-nine laborers died when a three-story building they were constructing collapsed at Yuan Jiang in China's central province of Hunan, the state radio and television news said today. 
The building toppled into a river beside the construction site while the men were asleep at midnight Monday, and the sole survivor was found clinging to a log floating in the water.",6,province,REAGAN,Reagan (1981-1988),CATEGORY_6,"province, floods, relief"
43 Die in Chinese Bus Crash.txt,"ï»¿
An overloaded bus traveling without windshield wipers in the rain toppled into a ditch and burst into flames, killing 43 people and injuring 40, an official report said today. 
The People's Daily newspaper said the survivors managed to climb out the rear window, while the rest of the 83 people on board burned to death. 
The bus crashed Wednesday in a rural area of Shaanxi Province in northern China, the paper said.",6,province,REAGAN,Reagan (1981-1988),CATEGORY_6,"province, floods, relief"
AROUND THE WORLD_147 Chinese Feared Dead After a Ferry Capsizes.txt,"ï»¿
A ferry carrying at least 232 people to a popular south China tourist area capsized today during an overnight thunderstorm, leaving at least 147 people missing and feared dead, officials said.
Officials in Guangdong Province said the ferry was on its regular run from Canton, the province capital, to Zhaoqing, 46 miles to the west, when winds heeled it sharply to port and capsized it at 2:40 A.M.
Most of the passengers were believed to have been asleep and had little time to grab life preservers before the boat turned over in a river called the Shan Shui.
PEKING, March 1 (UPI) - A ferry carrying at least 232 people to a popular south China tourist area capsized today during an overnight thunderstorm, leaving at least 147 people missing and feared dead, officials said.
Nearly 24 hours after the disaster, officials said only 85 people had been rescued with 66 of them requiring hospitalization. 
At least 147 people were missing.",6,province,REAGAN,Reagan (1981-1988),CATEGORY_6,"province, floods, relief"
AROUND THE WORLD_Tornado Kills 54 In South China.txt,"ï»¿
A tornado killed 54 people and seriously injured 163 when it raged through two south China communes Monday, the New China News Agency said today.
HONG KONG, April 13 (Reuters) - A tornado killed 54 people and seriously injured 163 when it raged through two south China communes Monday, the New China News Agency said today.
It said 90 buildings collapsed in the storm that hit Jianyang county of Fujian Province. 
The agency quoted county authorities as saying the casualties included students and teachers in local schools.
Â 
----
CALCUTTA, India, April 13 (Reuters) - At least 50 people were killed and 1,500 injured when a cyclone hit 21 villages in a coastal district of India near here, officials said today.
More than 6,000 people were made homeless by the storm Tuesday night.",6,province,REAGAN,Reagan (1981-1988),CATEGORY_6,"province, floods, relief"
AROUND THE WORLD_Yangtze Waters Pass China_s Largest Dam.txt,"ï»¿
Torrents of water from the Yangtze River swept past China's largest dam today without damaging it and surged toward an area that suffered disastrous floods last year.
Upstream in the province of Sichuan, where floods from last week's rains have killed more than 3,000 people and have injured more than 50,000, rescue workers struggled to care for the 500,000 who have been left homeless as the authorities rushed in relief supplies.
Flood waters with 20-foot-high waves swept by the Gezhouba Dam, in the province of Hubei, but the $2 billion project was undamaged, the New China News Agency said.
Torrents of water from Yangtze River sweep by China's largest dam, Gezhouba Dam, in province of Hubie, without causing damage",6,province,REAGAN,Reagan (1981-1988),CATEGORY_6,"province, floods, relief"
CHINA BELIEVED TO HAVE UNDERSTATED SCALE OF DROUGHT AND FLOOD DISASTERS.txt,"ï»¿
Chinese leaders apparently decided late last fall to deliberately understate the dimensions of China's drought and flood calamities in making their first appeal for international relief aid in more than 30 years. 
They are reported to have acted out of fear of alarming donor nations, antagonizing other third world disaster victims and damaging domestic political stabilityI.
According to Chinese officials, Western diplomats and relief workers here, the Peking leadership decided after ''sensitive'' debates to limit their aid appeal to apply only to hard-hit provinces containing about 21 million seriously affected victims of drought and flood because the dimensions of the overall problems were ''too big.''
International relief officials and some Western diplomats estimate that more than 130 million people are facing varying degrees of food shortages in at least nine provinces. 
But they are quick to stress that people are not starving and that the Government's own relief effort is well under way and seems fairly well organized.
Chinese leaders make first appeal for international relief aid in 30 years following country's severe drought and flood disastersNot Like Africans' Plight
''While we are talking about enormous areas and enormous numbers of affected people, China's problems should in no way be compared to the death and starvation among refugees in Africa,'' said a relief worker with experience in both places. 
''There is malnutrition, and some of it is serious and getting more serious. 
There are diseases growing out of it. 
But there is food to guarantee survival, and the Chinese are handling the bulk of the problems themselves with varying degrees of effectiveness.''
Perhaps to underscore the contrast with Africa, earlier this month at a Geneva conference China pledged $1 million to the relief effort for African refugees. 
The pledge was made despite an estimate by a United Nations survey team in March that China would need $700 million in food and other aid for disaster victims in Hebei and Hubei Provinces alone.
Hebei Province encircles Peking and is centered in the north China plain, which Chinese officials have said is into its second year with little or no rain. 
They said the drought is the region's worst in 38 years. 
Parts of at least seven provinces are affected: Liaoning, Hebei, Shanxi, Shaanxi, Ningxia, Gansu and Inner Mongolia.
The meterological bureau reported that between .12 and .8 of an inch of rain fell on parts of this region on April l3 and 14, helping the winter wheat crop planted last fall, but not by much.
Hubei Province in central China was the most seriously hit by torrential rains and subsequent flooding of the Yangtze River last summer. 
The Yangtze crested at its highest level in 26 years. 
To protect cities along the river, including Wuhan, Nanjing and Shanghai, workers hastily broke dozens of embankments along feeder rivers. 
Other burst themselves, inundating rural but heavily populated areas in Hubei and Anhui Provinces.
Chinese officials told the United Nations survey team that 550 people had died in the flooding and that about 41,000 had been injured. 
Whole villages were swept away, as were grain and vegetable crops and farm animals. 
Much land is too waterlogged to grow anything this year, they said.
Â 
Grain Stockpiles Dwindling
Relief officials said the drought in the north was most worrisome because no end to it is in sight and communal and district stockpiles of grain and other food harvested in previous years are rapidly dwindling. 
Reservoirs and rivers have dried up, and the water table in some areas has dropped to the point where villagers cannot dig emergency wells without modern deep-drilling equipment, which is in short supply.
Emergency rations of coarse grains, mainly ground corn, are being distributed, along with some dried cabbage and radishes. 
These provide between 1,200 and l,500 calories per day per person, several hundred calories short of minimum daily requirements of sustenance and child growth. 
Relatives living outside affected regions have been sending or bringing food in as well.
Before quietly approaching the United Nations last November, Chinese officials carefully weighed both the international and domestic political consequences of seeking foreign relief aid. 
Their decision to go ahead involved reversing to some extent a policy of self-reliance that has been a source of propaganda and pride since 1949.
Â 
Self-Reliance Still Stressed
When the United Nations disaster relief co-ordinator announced on March 12 that his organization would open an international appeal on behalf of China, he noted Peking's declaration that self-reliance continues to be a ''basic principle.''
At a news conference on March 31, Du Runsheng, deputy minister in the State Agricultural Commission, said that ''China has always undertaken our obligations'' financially to international organizations such as the United Nations but that in the past China had ''waived its right to benefit.''
He said China viewed its participation as a ''two-way street'' and ''strictly a question of mutual help.''
Mr. Du said the international aid China was seeking was small compared with the country's needs and that the domestic relief effort ''far exceeds'' whatever outside donors will contribute.
Â 
Possibilities for Aid Limited
Some Western diplomats interpreted China's limited request for aid as an effort not to scare away donor nations that might view the dimensions of China's needs as overwhelming. 
They also say that China does not want to antagonize its political friends in the third world that are suffering from their own disasters and are highly conscious that the amount of international relief aid is limited.
While the numbers of people affected seem enormous and while there are ample cases of serious malnutrition and disease, relief officials point out that all numbers in China seem enormous and that distinguishing victims of natural disaster from people affected by the poverty stemming from what the Chinese call man-made disasters is often difficult.
Relief workers believe that one reason the Chinese Government limited their inspections to two provinces is that the officials are loath to allow foreigners to document the effect of the admittedly disastrous consequences of China's agricultural policies over the last quarter-century.
Heavy commune building, central planning that ignored local conditions, tree-cutting and subsequent erosion, misguided irrigation projects causing saline buildup in soil and other policies that are now discredited left hundreds of millions of Chinese peasants with nothing to show for 25 years of toil.
Statistics compiled in the February issue of the magazine Economic Management imply that there were millions of unaccounted-for deaths between 1957, the beginning of the Great Leap Forward, and 1960, which began a period of famine.
Â 
Millions Lack Enough to Eat
At a Communist Party work conference in April 1979, Deputy Chairman Li Xiannian was reliably reported to have said that about 100 million people in China did not have enough to eat. 
That was before the current droughts and last year's floods.
Foreign pledges of aid for China have been trickling in. 
Emergency United Nations shipments of vitamins have arrived and are being distributed to supplement emergency grain rations. 
The European Common Market pledged $6.2 million worth of powdered milk and rapeseed oil along with other food supplies. 
Japan has pledged powdered milk as well.
The Peking leadership, meanwhile, faces a double-edged domestic sword as a consequence of its appeal for outside aid. 
Diplomats say if China discloses the full extent of its needs, it faces domestic criticism for failing at self-reliance. 
If it does not, foreign responses might be embarrassingly small and Mr. Deng's critics could use that as another example of the failure of his cooperation with non-Communist countries.",6,province,REAGAN,Reagan (1981-1988),CATEGORY_6,"province, floods, relief"
China Reports It Has Halted One Side of Huge Forest Fire.txt,"ï»¿
Firefighters have halted the eastward spread of a huge forest fire that has burned in northeastern China for 10 days and has killed 160 people, the official New Chine News Agency reported today.
As thousands more people were mobilized to fight the flames, the agency said firefighters were also beginning to succeed in battling the fire on its western front.
According to the Beijing-based Weather Forecasting Center, the fire has engulfed at least 2,350 square miles in the Da Hinggan mountains area in Heilongjiang Province, near the border with the Soviet Union.",6,province,REAGAN,Reagan (1981-1988),CATEGORY_6,"province, floods, relief"
China_s Forestry Chief Is Dismissed Over Fire.txt,"ï»¿
The State Council, China's Cabinet, dismissed Forestry Minister Yang Zhong today, saying he bore responsibility for a huge forest fire that killed 191 people and charred a huge area of northeastern China, the official New China News Agency said.
The fire, in Heilongjiang Province on the Soviet border, injured 221 people, left 51,000 homeless, destroyed several villages and burned more than 2.47 million acres.
The decision to dismiss Mr. Yang, 55 years old, will be submitted to the standing committee of the National People's Congress for approval, the agency said. 
No replacement was immediately named.
The dismissal indicated displeasure with the announced cause of the fire -carelessness by Forestry Bureau employees - and efforts to extinguish it.",6,province,REAGAN,Reagan (1981-1988),CATEGORY_6,"province, floods, relief"
CHINESE PROVINCE HAS SEVERE FLOOD.txt,"ï»¿
China's populous southeastern province of Guangdong has begun recovering from severe floods that marooned 450,000 people and left at least 430 dead.
The floods, said to be the worst in Guangdong in 30 years, came after torrential rains early May 12. 
They affected over a million people in northern and western Guangdong and raised fears that Canton might be threatened.
PEKING, May 19 - China's populous southeastern province of Guangdong has begun recovering from severe floods that marooned 450,000 people and left at least 430 dead.
Today, People's Daily, in its first acknowledgment of the disaster, reported that the floodwaters were starting to recede and that stranded people were being evacuated. 
The official party newspaper did not say how many Chinese had died or been left homeless.
Fuller details, however, have appeared in the Hong Kong press, which reported on the casualties, and in a local newspaper, Canton's Yangcheng Evening News, copies of which reached Peking.
In Qingyuan County, less than 50 miles north of Canton, nearly 24 inches of rain fell in 13 hours, raising the North River to its highest level since 1949 and leaving some roads six feet under water. 
More than 4,000 soldiers and peasants were mobilized to reinforce the river's dikes.
Â 
46,000 Houses Collapse
The floodwaters inundated more than 286,000 acres of farmland, according to reports. 
The Yangcheng Evening News said 46,000 houses collapsed and 40 bridges were washed away along with telephone poles and smaller dikes. 
One account said Qingyuan and Yingde Counties were entirely under water. 
In all, 18 counties were affected.
The floods also swept away more than 20 miles of the main rail line between Canton and Peking. 
Rail traffic is not expected to be restored for two weeks, a local official said. 
Travelers arriving in Hong Kong reported being stranded on trains for 30 hours as the waters rose and landslides blocked the tracks.
Chinese television this week showed army units rescuing stranded peasants, some from rooftops. 
Military aircraft dropped tons of biscuits, clothing and candles. 
Helicopters also evacuated some people. 
Sailors in landing craft and rubber dinghies rescued others. 
More than 100,000 troops and civilians have been mobilized, according to one report.
The flood's effect has been felt in Hong Kong, where food prices jumped this week after the usual supplies of pork and vegetables were disrupted. 
Daily vegetable shipments from Guangdong dropped by more than a third over the weekend, and the Hong Kong authorities started ordering extra produce from Taiwan and Thailand.
Guangdong Province, whose population of 58 million exceeds that of Britain or France, is primarily agricultural, and the full impact of the devastation probably will not be known for some time.
Â 
Drought in Northern China
Other parts of Guangdong had floods last fall but recovered sufficiently to have a good harvest. 
The latest floods appear to be less severe than those in Sichuan and Shanxi Provinces last summer, when more than 1,000 Chinese were reported killed and up to a half million were left homeless.
Northern China, meanwhile, is having a drought. 
The authorities say Peking's water reserves are dangerously low, although rain in the last week has helped.
Guangdong's flood relief effort is being led by Yang Deyuan, a Deputy Governor. 
Li Xuan, a Deputy Minister of Railways, came from Peking to supervise the restoration of China's north-south trunk line. 
China's airline has sent extra planes to Canton to carry passengers and mail.
The New China News Agency, said Tuesday night in its first report on the flood, ''The water levels of rivers have been falling slowly in the past two days and surface water is subsiding.''
And in the province of Qinghai, People's Daily reported today, heavy spring snows last month killed 690,000 head of livestock.",6,province,REAGAN,Reagan (1981-1988),CATEGORY_6,"province, floods, relief"
